id,Family,Clade_name,Status,Missing_species,Branching_times,Min_age,Max_age,name,Ecosystem,Family,Genetic data
77,Thraupidae,Volatinia jacarina,Non_endemic,0,0.28,NA,NA,Volatinia_jacarina_FJ176141,seco,Non-Tyrannidae,TRUE
82,Tityridae,Tityra semifasciata,Non_endemic,0,0.05,NA,NA,Tityra_semifasciata,seco,Non-Tyrannidae,TRUE
84,Troglodytidae,Henicorhina leucosticta,Non_endemic,0,0.66,0.18,NA,Henicorhina_leucosticta_EU983480_Bel,rainforest,Non-Tyrannidae,TRUE
87,Troglodytidae,Troglodytes aedon,Non_endemic,0,1.6,NA,NA,Troglodytes_aedon_MW353112_Belice,seco,Non-Tyrannidae,TRUE
118,Virionidae,Cyclarhis gujanensis,Non_endemic,0,1.67,0.32,NA,Cyclarhis_gujanensis,seco,Non-Tyrannidae,TRUE
119,Virionidae,Pachysylvia decurtata,Non_endemic,0,0.2,0.14,NA,Hylophilus_decurtatus,rainforest,Non-Tyrannidae,TRUE
120,Virionidae,Tunchiornis ochraceiceps,Non_endemic,0,0.04,NA,NA,Hylophilus_ochraceiceps_KM115242_Belize,rainforest,Non-Tyrannidae,TRUE
2,Cardinalidae,Caryothraustes poliogaster,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
5,Cardinalidae,Granatellus sallaei,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
9,Corvidae,Cyanocorax yncas,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
11,Corvidae,Psilorhinus morio,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
12,Cotingidae,Cotinga amabilis,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
13,Formicariidae,Formicarius moniliger,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
16,Fringillidae,Euphonia hirundinacea,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
17,Fringillidae,Spinus psaltria,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
19,Furnariidae,Dendrocincla anabatina,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,TRUE
22,Furnariidae,Lepidocolaptes souleyetii,Non_endemic_MaxAge,0,1.55,NA,1.56,Lepidocolaptes_souleyetii,rainforest,Non-Tyrannidae,TRUE
24,Furnariidae,Sittasomus griseicapillus,Non_endemic_MaxAge,0,1.24,NA,1.24,Sittasomus_griseicapillus_GU215383_Ver_Mexico,seco,Non-Tyrannidae,TRUE
25,Furnariidae,Synallaxis erythrothorax,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
31,Icteridae,Dives dives,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
36,Icteridae,Icterus mesomelas,Non_endemic_MaxAge,0,0.95,NA,0.95,NA,seco,Non-Tyrannidae,TRUE
38,Icteridae,Icterus spurius,Non_endemic_MaxAge,0,0.27,NA,0.27,Icterus_fuertesi ,seco,Non-Tyrannidae,TRUE
39,Icteridae,Molothrus aeneus,Non_endemic_MaxAge,0,0.91,NA,0.91,Molothrus_aeneus,seco,Non-Tyrannidae,TRUE
40,Icteridae,Molothrus oryzivorus,Non_endemic_MaxAge,0,2.22,NA,2.22,Molothrus_oryzivorus_JQ175401_Pan,rainforest,Non-Tyrannidae,TRUE
41,Icteridae,Psarocolius montezuma,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
42,Icteridae,Quiscalus mexicanus,Non_endemic_MaxAge,0,0.29,NA,0.29,Quiscalus_mexicanus,seco,Non-Tyrannidae,TRUE
50,Passerellidae,Arremonops rufivirgatus,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
51,Passerellidae,Peucaea botterii,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
52,Pipridae,Ceratopipra mentalis,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
53,Pipridae,Manacus candei,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
59,Thamnophilidae,Dysithamnus mentalis,Non_endemic_MaxAge,0,0.85,NA,0.85,Dysithamnus_mentalis_GU215224_Pan,rainforest,Non-Tyrannidae,TRUE
67,Thraupidae,Lanio aurantius,Non_endemic_MaxAge,0,0.76,NA,0.76,Lanio_aurantius_EF529850_Hon,rainforest,Non-Tyrannidae,TRUE
68,Thraupidae,Ramphocelus sanguinolentus,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
72,Thraupidae,Sporophila funerea,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
73,Thraupidae,Sporophila morelleti/torqueola,Non_endemic_MaxAge,0,0.53,NA,NA,Sporophila_torqueola_EU442328_Guatemala,seco,Non-Tyrannidae,TRUE
74,Thraupidae,Thraupis abbas,Non_endemic_MaxAge,0,1.34,NA,1.34,Thraupis_abbas,seco,Non-Tyrannidae,TRUE
78,Tityridae,Pachyramphus aglaiae,Non_endemic_MaxAge,0,1.03,NA,NA,Pachyramphus_aglaiae,seco,Non-Tyrannidae,TRUE
79,Tityridae,Pachyramphus major,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
80,Tityridae,Schiffornis veraepacis,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
81,Tityridae,Tityra inquisitor,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
85,Troglodytidae,Pheugopedius maculipectus,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
88,Troglodytidae,Uropsila leucogastra,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,seco,Non-Tyrannidae,False 
117,Vireonidae,Vireolanius pulchellus,Non_endemic_MaxAge,0,2.6,NA,2.6,NA,rainforest,Non-Tyrannidae,False 
60,Thamnophilidae,Microrhopias quixensis,Non_endemic_MaxAge_MinAge,0,"0.98,0.72",NA,0.98,Microrhopias_quixensis_FJ175882_Belize,rainforest,Non-Tyrannidae,TRUE
61,Thamnophilidae,Thamnophilus doliatus,Non_endemic_MaxAge_MinAge,0,"0.94,0.09",0.09,NA, Thamnophilus_doliatus,seco,Non-Tyrannidae,TRUE
89,Turdidae,Turdus grayi,Non_endemic_MaxAge_MinAge,0,"0.51,0.27",0.27,0.51,Turdus_grayi_HM208686_Campeche,seco,Non-Tyrannidae,TRUE
4,Cardinalidae,Cyanoloxia cyanoides,Non_endemic_MaxAge_MinAge,0,"0.20,0.03",0.03,0.2,Cyanocompsa_cyanoides,rainforest,Non-Tyrannidae,TRUE
6,Cardinalidae,Habia fuscicauda,Non_endemic_MaxAge_MinAge,0,"2.12,1.74",0.35,2.12,Habia_fuscicauda,seco,Non-Tyrannidae,TRUE
14,Fringillidae,Euphonia affinis,Non_endemic_MaxAge_MinAge,0,"0.33, 0.20",0.2,0.33,Euphonia_affinis,seco,Non-Tyrannidae,TRUE
27,Furnariidae,Xiphorhynchus flavigaster,Non_endemic_MaxAge_MinAge,0,"0.15,0.03",0.03,0.15,Xiphorhynchus_flavigaster,seco,Non-Tyrannidae,TRUE
30,Icteridae,Amblycercus holosericeus,Non_endemic_MaxAge_MinAge,0,"2.48, 0.06",0.06,2.49,Amblycereus_holosericeus_AY117722_Yucatan,seco,Non-Tyrannidae,TRUE
33,Icteridae,Icterus chrysater,Non_endemic_MaxAge_MinAge,0,"0.06,0.007",0.01,0.06,Icterus_chrysater,seco,Non-Tyrannidae,TRUE
37,Icteridae,Icterus prosthemelas,Non_endemic_MaxAge_MinAge,0,"2.6,0.07",0.08,2.6,Icterus_dominicensis_prosthemelas_AF099327_Campeche_Mexico,seco,Non-Tyrannidae,TRUE
